fecha,Mod_comb,NDVI,sup_quemad,sup_arb,sup_pastiz,sup_matorr,w_arb,w_pastiz,w_matorr,rk_Cuenc_F,rk_hist_Cu,rk_hist_us,rk_orograf,rk_peligro,rk_pte,vuln_equip,vuln_forve,vuln_infra,vuln_max,vuln_pathi,LST,rk_combUSIF,rk_combCuencExtr,rk_combCuencSup,Velocidad_Viento,Dirección_Viento,Humedad_Relativa,Temperatura_Máxima,Temperatura_Media,ETo_acumulada,Precipitación_acumulada
30/06/2004,5,3507.75,169.970993,,,,,,,2,4,3,2,1,2,1,4,2,4,1,45.87,5,4,5,5,68,35,38,29,952.51,801.2
08/07/2004,1,3049.11,132.320007,,,,,,,4,3,5,2,1,4,1,3,3,3,1,36.94,5,5,5,10,45,41.3,26.7,20.3,1098.93,659.6
23/07/2004,3,2668,64.8125,,,,,,,4,4,5,2,1,1,1,1,2,2,1,38.75,5,4,4,5,135,30.2,39,31.6,1216.94,659.6
22/07/2004,7,4902.48,203.701004,,,,,,,5,5,5,2,1,4,1,4,2,4,1,35.9,5,5,5,46,225,34.5,35.5,27.9,112.57,801.2
26/07/2004,6,3684.9,277.992004,,,,,,,4,5,5,2,3,2,1,3,3,3,1,46.53,5,5,5,37,338,16.5,39.3,33.3,1147.34,801.2
27/07/2004,5,2387.97,34290.5,,,,,,,3,5,5,2,4,4,1,4,2,4,1,42.1655779,5,5,5,7,270,20,39,32,1155.87,801.2
29/08/2004,4,2261.55,491.376007,,,,,,,5,5,5,2,2,2,1,3,5,3,1,42.1766667,5,5,5,5,315,21,34,27,1367.83,811.4
31/08/2004,9,4452.91,120.638001,,,,,,,4,5,3,2,1,1,1,4,3,4,1,39.61,5,4,5,8,225,40,34,27,1381.2,811.4
01/04/2005,11,4464.31,184.789002,,,,,,,3,4,2,2,1,1,1,4,3,4,1,0,4,5,5,1.1,178.5,68.5,21.4,16.6,373.96,190.6
05/06/2005,11,2744.64,78.7931976,,,,,,,4,5,5,2,1,2,1,3,2,3,1,42.05,5,5,5,1.6,159.2,27.7,36,28,875.77,401.2
30/07/2005,10,2539.24,847.640991,,,,,,,3,4,2,2,1,1,1,4,2,4,1,40.488,4,5,5,12,270,51.1,29.8,22.4,964.66,211
15/08/2005,6,2413.64,175.354996,,,,,,,4,4,5,2,1,2,1,4,2,4,1,47.79,4,2,3,1.4,225,32.1,36.9,28.1,1277.17,294.8
24/08/2005,5,2334.02,222.455002,,,,,,,5,5,2,2,1,1,1,4,2,4,1,37.75,4,4,3,12,225,59.8,32.2,24.3,1085.73,211.4
11/09/2005,10,4677.03,152.063995,,,,,,,5,5,2,2,1,1,1,3,2,3,1,30.69,4,4,3,15,293,57.8,27,19.6,1164.08,212
11/07/2006,5,5226.85,275.915985,,,,,,,3,5,5,4,3,4,1,4,1,4,1,41.3233333,4,5,5,20,270,39,35,30,1027.11,606.8
27/05/2006,11,4670.11,215.113007,,,,,,,4,4,5,2,1,1,1,4,3,4,1,0,5,4,3,6,91.3,48,30,23,691.76,533.8
22/07/2006,5,3749.61,138.964005,,,,,,,4,3,5,2,1,2,1,3,2,3,1,42.57,5,5,5,1.5,90,34.8,37,27.8,1032.52,587.6
11/07/2007,7,2410.66,72.1824036,,,,,,,5,5,5,2,3,4,1,2,3,3,1,44.59,5,5,5,41,225,28.8,36.5,28.4,1004.99,706.6
29/07/2007,9,2646.29,1026.43994,,,,,,,3,5,5,2,4,3,1,4,1,4,1,42.5057143,5,5,5,8,225,35,39,29,1108.43,516
